#separator:tab
#html:true
#columns:Cue	Line	Deck	Tags
#deck column:3
#tags column:4
<b>Hierophant:</b> Sr/Fr Hegemon, your station and duties?	My station is between the Two Pillars of Hermes and Solomon and my face is towards the cubical Altar of the Universe.	Neophyte::04. Hegemon::02. officers	officers Hegemon
My station is between the Two Pillars of Hermes and Solomon and my face is towards the cubical Altar of the Universe.	My duty is to watch over the Gateway of the Hidden Knowledge for I am the reconciler between Light and Darkness.	Neophyte::04. Hegemon::02. officers	officers Hegemon
My duty is to watch over the Gateway of the Hidden Knowledge for I am the reconciler between Light and Darkness.	I watch over the preparation of the Aspirant and assist in their reception,	Neophyte::04. Hegemon::02. officers	officers Hegemon
I watch over the preparation of the Aspirant and assist in their reception,	and I lead them in the Path that conducts from Darkness to Light.	Neophyte::04. Hegemon::02. officers	officers Hegemon
and I lead them in the Path that conducts from Darkness to Light.	The White Color of my Robe is the color of Purity,	Neophyte::04. Hegemon::02. officers	officers Hegemon
The White Color of my Robe is the color of Purity,	my ensign of office is the Feather-crowned scepter to symbolize balance which guides and regulates life,	Neophyte::04. Hegemon::02. officers	officers Hegemon
my ensign of office is the Feather-crowned scepter to symbolize balance which guides and regulates life,	and my Office symbolizes those higher aspirations of the soul which should guide its action.	Neophyte::04. Hegemon::02. officers	officers Hegemon
<b>Hiereus:</b> <i>(!)</i> AM<br><br><i>[Context: Charge to the Hall, opening]</i>	<i>(!)</i> PEKHT	Neophyte::04. Hegemon::05. charge_opening	charge_opening Hegemon
<b>Hiereus:</b> <i>(!)</i> KONX<br><br><i>[Context: Charge to the Hall, opening]</i>	<i>(!)</i> OM	Neophyte::04. Hegemon::05. charge_opening	charge_opening Hegemon
<b>Hierophant:</b> <i>(!)</i> PAX<br><br><i>[Context: Charge to the Hall, opening]</i>	<i>(!)</i> LIGHT	Neophyte::04. Hegemon::05. charge_opening	charge_opening Hegemon
<b>Hierophant:</b> Let the Stolistes and the Dadouchos assist in the reception.	Inheritor of a Dying World, arise and enter the Darkness.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> ...Why seekest thou admission to our Order?	<i>(Asp. — prompt as needed)</i> My Soul wanders in Darkness and seeks the Light of Hidden Knowledge, and I believe that in this Order Knowledge of that Light may be obtained.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> ...are you willing to take a profound Obligation in the presence of this Assembly, to keep the Mysteries of our Order inviolate?	<i>(Asp. — you may prompt)</i> I am.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> ...Are you ready to take this Oath?	<i>(Asp. — you may prompt)</i> I am.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> ...Are you willing to take this supreme vow?	<i>(Asp. — you may prompt)</i> I am.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> Is it your will to take this ultimate vow?	<i>(Asp. — prompt as needed)</i> It is. <i>(or some such)</i>	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
